2021-10-18 12:12:57 INFO  MainDriver:19 - Log Successfully Deployed
2021-10-18 12:12:58 INFO  MainDriver:29 - Javalin Created
2021-10-18 12:13:16 INFO  MainDriver:24 - Successfully logged in as employee: test
2021-10-18 12:13:16 INFO  MainDriver:47 - Retriving info on user: test
2021-10-18 12:13:16 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:13:37 INFO  MainDriver:56 - Succesfully created new Reimbursement
2021-10-18 12:13:37 INFO  MainDriver:47 - Retriving info on user: test
2021-10-18 12:13:37 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:13:47 INFO  MainDriver:40 - Logged Out user: test
2021-10-18 12:14:04 INFO  MainDriver:27 - Successfully logged in as Finance Manager: manager
2021-10-18 12:14:04 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:14:04 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:14:25 INFO  MainDriver:66 - Successfully updated a Reimbursement
2021-10-18 12:14:25 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:14:25 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:14:30 INFO  MainDriver:66 - Successfully updated a Reimbursement
2021-10-18 12:14:31 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:14:31 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:14:39 INFO  MainDriver:66 - Successfully updated a Reimbursement
2021-10-18 12:14:39 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:14:39 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:14:50 INFO  MainDriver:40 - Logged Out user: manager
2021-10-18 12:16:21 INFO  MainDriver:24 - Successfully logged in as employee: test
2021-10-18 12:16:21 INFO  MainDriver:47 - Retriving info on user: test
2021-10-18 12:16:21 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:16:36 INFO  MainDriver:40 - Logged Out user: test
2021-10-18 12:16:43 INFO  MainDriver:27 - Successfully logged in as Finance Manager: manager
2021-10-18 12:16:43 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:16:43 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:16:51 INFO  MainDriver:66 - Successfully updated a Reimbursement
2021-10-18 12:16:51 INFO  MainDriver:47 - Retriving info on user: manager
2021-10-18 12:16:51 INFO  MainDriver:29 - Getting All Reimbursements
2021-10-18 12:16:55 INFO  MainDriver:40 - Logged Out user: manager
2021-10-18 12:17:01 INFO  MainDriver:24 - Successfully logged in as employee: test
2021-10-18 12:17:01 INFO  MainDriver:47 - Retriving info on user: test
2021-10-18 12:17:01 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:17:31 INFO  MainDriver:40 - Logged Out user: test
2021-10-18 12:17:41 WARN  MainDriver:31 - Invalid Login
2021-10-18 12:17:48 INFO  MainDriver:24 - Successfully logged in as employee: test
2021-10-18 12:17:48 INFO  MainDriver:47 - Retriving info on user: test
2021-10-18 12:17:48 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:18:13 INFO  MainDriver:17 - Getting Reimbursements for: First User
2021-10-18 12:18:17 INFO  MainDriver:40 - Logged Out user: test
